actor_id,clean_login,data_label
1081405,dlazesz,Human
13100598,sarkiroka,Human
22494,ZoomQuiet,Human
7648032,AlCutter,Human
2163522,meetyan,Human
27288824,cooperspencer,Human
5709,goofmint,Human
1355668,mhutchinson,Human
59210087,stfuanu,Human
5076961,jamieshepherd,Human
18280708,gaeljw,Human
759062,oliverchang,Human
29738535,ArthurDanjou,Human
35039147,Christian-Martins,Human
11386439,pfandzelter,Human
8589138,jamiew0w,Human
3428506,nomadicshiv,Human
3162122,ssovit,Human
28438021,maximousblk,Human
87618423,bsc-predict,Bot
74838964,unitester,Bot
10616960,0xDanielLopez,Human
16950305,TomoeMami,Human
1353811,ricardomaia,Human
66718300,wise-introvert,Human
1329165,Lego6245,Human
74699,andymckay,Human
63096193,Dank-del,Human
19990752,hsiangfeng,Human
69157597,ICONationDevTeam,Human
38534196,mogador26,Human
35906997,lony2003,Human
64194467,enkr1,Human
56747,markhepburn,Human
3707860,bowmanjeffs,Human
4713628,mcdave029,Human
1783339,MrFoxyOfficial,Human
64280,raphaelm,Human
9011267,dotnet-bot,Bot
15879987,raftario,Human
26539665,littleee,Human
44722363,TomsProject,Human
10598343,mbargull,Human
1884287,varunsridharan,Human
4474856,johnlovesdata,Human
1307523,alexanderkustov,Human
30396478,xionghaizhi,Human
9710256,zbecknell,Human
58626192,AlphaNull16299,Human
5116346,rbehrends,Human
142120,DamianZaremba,Human
33500389,gntouts,Human
22173232,proabiral,Human
229042,darach,Human
27874591,u1i,Human
11522066,philipgreat,Human
69484901,sa1i,Human
31819732,dustinrouillard,Human
1405982,demianmnave,Human
524596,Varriount,Human
67270651,minoplhy,Human
53066066,lbr77,Human
68449029,yuimarudev,Human
458209,foal,Human
69394951,programmeruser2,Human
3455449,Dids,Human
6717350,mu-arch,Human
30030348,enajx,Human
30189103,openshift-ci-robot,Bot
57559326,codeforIATIbot,Bot
11527185,exand,Human
31839681,chenshiwei-io,Human
3629629,bdkent,Human
30238962,merkleID,Human
33126,notjosh,Human
8957346,herrbischoff,Human
44680817,batuhanyndny,Human
29703080,squash-labs[bot],Bot
788293,bfabio,Human
3221000,jdtournier,Human
6303310,paulstey,Human
25408780,chmccreery,Human
42138517,benjaminwolkchen,Human
8739360,orhanar,Human
18568381,thomasmerz,Human
24226219,Nasfame,Human
11470393,cjeker,Human
67494861,dropout1337,Human
61192422,yasmin2496,Human
22763678,rozierguillaume,Human
69315643,flip-abagnale,Human
13513658,kimyvgy,Human
36574651,Asgarrrr,Human
22492406,LukePrior,Human
16730661,okankocyigit,Human
12201893,tg12,Human
47844,kiang,Human
8266075,DIYgod,Human
12369792,Awkee,Human
65566012,Minecodes,Human
6358735,alexellis,Human
58398485,TebbaaX,Human
41898282,github-actions[bot],Bot
75375782,CenBoMin,Human
9460517,ronghuaxueleng,Human
46782860,seigot,Human
816994,blacky1707,Human
40151425,FxllenCode,Human
5000654,oxtoacart,Human
2496211,dhadka,Human
1938389,netravnen,Human
35181442,75asa,Human
1833684,ArtskydJ,Human
304265,frol,Human
12962539,gentoo-repo-qa-bot,Bot
1852455,franleplant,Human
49069586,x-ddr,Human
12112,GUI,Human
57515506,RecapTimeBot,Bot
7636440,joaorb64,Human
1354510,leo91000,Human
533180,scriptzteam,Human
70911038,ultimate-hosts-blacklist-bot,Bot
2031472,noway,Human
195836,phuslu,Human
30046214,tranphuquy19,Human
20180777,radislavB,Human
38097062,KaratekHD,Human
395821,rht,Human
922234,tomchentw,Human
34417826,hasbai,Human
15963992,leesharpe,Human
4200891,YPermitin,Human
40209326,netlify[bot],Bot
2951285,samber,Human
44401648,tobiastykvart,Human
5726497,jojoxd,Human
32688539,restyled-io[bot],Bot
2853489,jason-green-io,Human
32685696,csagan5,Human
64952483,Mirko-r,Human
59560949,StudFu-WordToMD,Bot
33170633,Fweak,Human
5044195,Patrick-Kelley,Human
25398100,upal212,Human
5637090,ruscur,Human
31557639,43EVER,Human
18329103,sqeven,Human
42928436,rtd-helper[bot],Bot
13013670,phixion,Human
1616850,HenrikBengtsson,Human
36971155,height[bot],Bot
33298198,github-trending-repos-bot,Bot
1491826,surfnet-niels,Human
13621271,ChameleonTartu,Human
1741700,andou,Human
9599,simonw,Human
45834289,Liquid369,Human
2168535,wrygiel,Human
68645946,gifaldyazkaa,Human
1715217,taisukef,Human
15196250,abc873693,Human
28478594,JacobLinCool,Human
26902309,mrhotio,Human
62712893,xxxtentacion,Human
20679825,acid-chicken,Human
1373940,kokarn,Human
28275923,AskBid,Human
9004309,alexchapar,Human
4945153,apan1121,Human
77938843,sunaidream,Bot
18272282,SanderVanhove,Human
28653235,Dobby233Liu,Human
7694,bwghughes,Human
47664151,Roo7K1d,Human
1321253,lvsti,Human
1584813,iboonox,Human
8356503,adamberman,Human
10919270,roosterkid,Human
31049082,twnlink,Human
72732935,tafakkur,Human
77521350,BloomAutist47,Human
20568,certik,Human
7287697,pensarguet,Human
7829907,v4lerio,Human
27447280,ibarraespinosa,Human
5102591,tabuna,Human
7101032,kappelmann,Human
31197662,similar-code-searcher[bot],Bot
17795845,Equim-chan,Human
7276252,bashopman,Human
204934,Sandbird,Human
2982335,SebastienFCT,Human
29104726,SafaSafari,Human
1240066,NiKiZe,Human
59575534,JakWai01,Human
32535494,ChengYen-Tang,Human
16578240,rsettlage,Human
227303,uqs,Human
65274619,sway2020,Human
22890026,glazec,Human
12820919,MyUncleSam,Human
61057625,ShadowWhisperer,Human
914548,adros,Human
14978021,isjerryxiao,Human
7190633,hackerkid,Human
6692083,tyeth,Human
34974801,IAmTheRealLuna,Human
9636937,vmishenev,Human
50076933,grayfallstown,Human
4502793,liferay-continuous-integration,Bot
48569085,bot-app-test[bot],Bot
27856297,dependabot-preview[bot],Bot
14807290,GodsVictory,Human
37958125,MaybeNotWrong,Human
56196640,QAZIMAAZARSHAD,Human
32959649,tolache,Human
48645689,linusromland,Human
15682954,moeKiwiSAMA,Human
2068046,Kail0,Human
66055060,HakkaTjakka,Human
17517687,Phoenix1747,Human
29433710,hyperkai,Human
3014232,actors315,Human
50820503,JaavLex,Human
950517,sth,Human
58136431,flancian,Human
7917093,codepathreview,Human
39514782,sonarcloud[bot],Bot
1926119,7h3rAm,Human
43839957,annkuoQ,Human
5082246,sj,Human
3014737,MarcelWaldvogel,Human
72623,dforsyth,Human
12084677,martijn-heil,Human
1458520,martynasma,Human
30536864,signcla-test-signed-indiv,Bot
3861465,southerncross,Human
17905150,IKangXu,Human
1750815,TingluoHuang,Human
2474926,aarongable,Human
71022656,MatadorProBr,Human
30538765,signcla-test-unsigned,Bot
46012524,neilkuan,Human
15997951,felipecruz91,Human
241593,adunstan,Human
30537854,signcla-test-signed-corp,Bot
32856376,corcd,Human
3242261,mlite,Human
42427874,emmy-issue,Bot
66541802,violet-dev,Human
10580038,antarcticrainforest,Human
22294314,lyhourchhen,Human
20452814,CodeDoctorDE,Human
47257959,GiuseppeFilingeri,Bot
108104,masterkoppa,Human
1499307,dorfire,Human
58056708,colatiger,Human
47766566,bb-sycl,Bot
37936606,github-learning-lab[bot],Bot
1787040,matchavez,Human
28760461,TheUltimateAbsol,Human
3378822,neon-ninja,Human
5003269,charlesjlee,Human
899645,ntkme,Human
3529086,kirkhansen,Human
62288713,pavirp29,Human
79776344,binzydev,Human
44153440,tomyoung903,Human
59765200,NexusDev07,Human
75433959,openshift-ci[bot],Bot
74814336,msechen,Human
46838874,rashil2000,Human
34854165,gfw-breaker,Human
78034891,polkadot-js-bot,Bot
7221389,mazipan,Human
12148373,NickCarducci,Human
22429695,codecov[bot],Bot
68799469,re-taro,Human
79414145,boostsecurity-ci[bot],Bot
40737538,angelsflyinhell,Human
27426792,iambenmitchell,Human
45287301,rachitkataria13,Human
8030069,sergeynezbritskiy,Human
60442490,amirwolf5122,Human
46691165,fugohan,Human
21034047,hanzhi713,Human
94155176,the-barserkou,Bot
7664655,nandiheath,Human
22233835,hookzof,Human
20407524,k8s-ci-robot,Bot
30164659,opse2esa,Bot
34748927,nxvvvv,Human
779321,davidpaulsson,Human
49695357,bot-monkey-3,Bot
32113157,theusaf,Human
211358,averissimo,Human
2009948,maborak,Human
1676445,9034725985,Human
10757154,thibautjombart,Human
68613938,SuperManito,Human
57860916,hrichiksite,Human
2182,danp,Human
64729760,mtr-static-official,Bot
4343808,sparklyballs,Human
44651202,google-oss-robot,Bot
10804999,Thavarshan,Human
1140167,stayradiated,Human
61254497,quarkusbot,Bot
53513,nsuan,Human
8900205,XavierJp,Human
4406153,cenkbircanoglu,Human
30189218,openshift-merge-robot,Bot
74659618,max-acumen,Human
2378389,fmatter,Human
807508,kimmking,Human
42973632,kibanamachine,Bot
17505625,jmctune,Human
36466523,cypress[bot],Bot
694745,rmayr,Human
209139,friedcell,Human
6070939,SheetJSDev,Human
43144390,lgtm-com[bot],Bot
248741,narze,Human
68631244,krishpranav,Human
53056553,FindingAnand,Bot
21015829,shortcut-integration[bot],Bot
4067300,YouROK,Human
15467072,swift-ci,Bot
3625160,esperecyan,Human
14788991,prateekrastogi,Human
33251702,AppDevMichael,Human
49764102,bot-monkey-4,Human
6948709,hmrc-web-operations,Bot
26602940,0xflotus,Human
21261222,ricardoGrando,Human
79381923,boostsecurity-staging-ci[bot],Bot
15837671,elasticmachine,Bot
61961028,workerTmp,Human
62694369,jina-bot,Bot
51384143,wdes-bot,Bot
68455785,goproslowyo,Human
7077164,ceseo,Human
58020879,testmail-ihub,Bot
37886,pschmitt,Human
73116608,openjdk-notifier[bot],Bot
12754677,hendrixjoseph,Human
46637781,hhc97,Human
67127154,appany-it,Human
10992695,abzcoding,Human
37929162,mergify[bot],Bot
26013935,Pieparker,Human
11803153,aulneau,Human
12064158,zhonger,Human
86326399,bot-monkey-8,Human
49659427,bot-monkey-2,Bot
736001,Teemperor,Human
129272,oscarnevarezleal,Human
63246200,Rav4s,Human
47351025,HarshCasper,Human
14373068,anishthite,Human
19616653,ArmageddonKnight,Human
313494,ericbottard,Human
7554352,butadora3,Human
9762652,AnnAngela,Human
926513,eshellman,Human
973860,nelt,Human
3379460,beanslee2012,Human
76908410,wout-codes,Bot
6157049,IvanWei,Human
1507158,clementval,Human
7828365,pmnoxx,Human
82778544,khcoaching,Human
41213312,knative-prow-robot,Bot
50640090,miwebst,Human
25160789,jhonnold,Human
65137116,beyourahi,Human
57198942,nikgapps,Human
72751432,boostsecuritystaging[bot],Bot
9742568,achillesrasquinha,Human
13864484,hhorii,Human
21592,inxilpro,Human
60106112,rajinderpalsingh2001,Human
69431456,bigint,Human
10195800,evverx,Human
113001,aaronpk,Human
29708070,AMTitan,Human
12242590,vikas-goel,Human
14380972,gari30,Human
57292142,Velosh,Human
53356347,azure-sdk,Bot
63485082,techyminati,Human
12479470,azl397985856,Human
476013,matthiaskrgr,Human
4595135,ziobron,Human
78982,Yitzchok,Human
54246291,josh-justjosh,Human
43336896,bridgekeeper[bot],Bot
55858104,google-cla[bot],Bot
193136,dtinth,Human
209374,boombatower,Human
16981248,lifa123,Human
4971414,sinkcup,Human
39223861,chrismailer,Human
37431235,Apocalypsor,Human
58761920,BenGOsborn,Human
6102858,WixBuildServer,Bot
16837285,robodoo,Bot
52951923,crscodio,Bot
40620903,figsoda,Human
86325950,bot-monkey-6,Bot
34882892,balena-ci,Bot
1634252,vahid-dan,Human
58698531,mebdivio,Human
7042,petertodd,Human
58045821,GoldenAlpharex,Human
74306126,backstage-service,Human
19201447,DoveBoy,Human
63355234,openstack-mirroring,Bot
46893889,appexplore,Human
6508,vdemeester,Human
346907,cyberium,Human
20123683,shenlebantongying,Human
4933,javierarce,Human
75068438,quarkus-bot[bot],Bot
5984479,neutric,Human
6422482,facebook-github-bot,Bot
5781547,jmmaloney4,Human
25986782,JuroOravec,Human
86326137,bot-monkey-7,Bot
5184102,CocoaPodsBot,Bot
54780737,bl-ue,Human
82717856,Cryptocool1,Human
64984008,dakkshesh07,Human
25397800,JareBear12418,Human
43336822,openjdk[bot],Bot
280212,19h,Human
48457681,hortencia718,Human
5726,joenoon,Human
50523262,BottleSome,Human
69833949,Auto5958,Bot
17919858,MlgmXyysd,Human
60985269,ucpaopao,Human
49032,jelmer,Human
56113566,Aryamanz29,Human
35927536,dan-mba,Human
45554944,BenNeighbour,Human
17703670,maxshuang,Human
1121362,swordqiu,Human
15202793,moz-releng-automation,Human
49458323,gf-db,Human
39689386,close-issue-app[bot],Bot
814471,swegener,Human
82715592,Ryan0204,Human
46904574,flinkbot,Bot
6010774,pfgithub,Human
44709815,linear[bot],Bot
48118242,AndrewBakalinIntel,Human
9733856,UnKnoWn-Consortium,Human
24755510,supermarin1,Human
2390260,Jagjeet,Human
20707603,xiaoluhong,Human
227261,anvyst,Human
36231209,usercont-release-bot,Bot
70956405,BlockNG,Human
1036561,davidanthoff,Human
18567580,conda-forge-linter,Bot
68580920,ignavan39,Human
7548378,philiprbrenan,Human
68820538,tinarskii,Human
64878874,phuang1024,Human
220864,JohnMcLear,Human
29735669,ichn-hu,Human
10810421,i048695,Human
3375968,tao-guo,Human
16867443,prince-chrismc,Human
61106285,flipped-1121,Human
92114575,google-oss-prow[bot],Bot
53823544,LordRonz,Human
60674295,CSSEGISandData,Human
368084,Quy,Human
46053893,jjnanthakumar,Human
36441664,chetabahana,Human
32226909,HiGarfield,Human
254647,alsuren,Human
56469371,sre-ci-robot,Bot
26551020,jdenny-ornl,Human
19328147,RuzgarErik,Human
2719629,LarsMichelsen,Human
1926585,jaimevalero,Human
15520314,MarshalX,Human
6620091,copolycube,Human
82299066,bot-monkey-5,Bot
4718607,timurista,Human
1993032,petegordon,Human
8108735,SparkQA,Bot
45966964,Jeanstaquet,Human
4031291,AmplabJenkins,Bot
17809581,anuveyatsu,Human
91878298,come-nc,Human
1686843,scripting,Human
1551593,imnotjames,Human
54940324,fw-bot,Bot
51695571,JayLZhou,Human
2770146,Jason918,Human
844343,thiagokokada,Human
2228672,mvorisek,Human
9448959,edx-status-bot,Bot
3119428,armanbilge,Human
49419645,changeset-bot[bot],Bot
25687724,kubevirt-bot,Bot
20700669,cho-m,Human
23646532,spandantiwari,Human
19258,creachadair,Human
71154457,Lencof,Human
71242396,ti-chi-bot,Bot
5048516,simcheolhwan,Human
3874064,iamareebjamal,Human
116385,stephenmcd,Human
1556794,braindigitalis,Human
