,contributor,type,confidence,events,NA,NT,NOR,ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,NAR_mean,NAR_median,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NCAR_mean,NCAR_std,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR
0,contributor,Human,0.942,44,42,9,9,0.6,48.666,0.169,112.671,0.85,2.8,3.0,0.314,2.0,1.667,1.0,0.816,0.245,1.909,1.231,1.75,2.716,0.0,7.079,0.12,92.17,0.675,145.834,0.73,138.761,61.779,0.334,128.978,0.824,37.078,4.667,3.0,4.975,0.466,3.0
1,yuval-hazaz,Human,0.843,100,78,9,2,0.667,1.208,0.007,3.962,0.907,26.0,14.0,0.479,28.0,5.333,6.0,4.041,0.333,7.8,8.011,5.0,4.895,0.197,9.638,1.559,4.899,1.721,7.322,0.67,3.329,0.964,0.007,3.46,0.916,0.186,8.667,6.0,8.322,0.462,7.0
2,ethanwharris,Human,0.57,26,24,4,2,0.5,49.921,3.824,127.742,0.82,6.0,2.5,0.562,6.5,1.5,1.0,1.0,0.25,4.8,6.943,3.0,70.481,0.0,97.099,161.114,198.944,84.69,272.243,0.557,165.333,124.264,19.596,237.994,0.739,71.591,6.0,2.5,8.124,0.562,6.5
3,JustinBeckwith,Human,0.899,100,73,10,2,0.182,6.889,0.016,16.538,0.838,6.636,4.0,0.433,8.0,3.545,3.0,1.864,0.28,3.476,2.657,3.0,7.337,0.005,14.006,9.874,17.095,7.138,25.943,0.66,21.516,4.571,0.01,9.343,0.82,2.549,7.3,3.0,9.093,0.566,6.75
4,timlinux,Human,0.811,100,81,9,2,1.0,1.219,0.06,3.008,0.834,40.5,40.5,0.34,27.5,6.0,6.0,4.243,0.25,27.0,23.388,20.5,31.103,10.941,44.592,41.032,2.12,2.12,1.407,0.235,0.995,1.198,0.049,3.003,0.841,0.498,9.0,8.0,5.431,0.318,6.0
5,kantord,Human,0.89,100,100,8,37,0.902,15.829,2.22,28.522,0.744,2.439,1.0,0.562,0.0,1.146,1.0,0.478,0.117,2.0,6.36,0.0,2.475,0.0,12.495,0.0,29.455,17.902,34.913,0.559,37.996,26.329,15.476,35.688,0.618,34.007,12.5,3.0,20.05,0.675,10.0
6,benouaer,Human,0.734,285,264,9,1,0.062,5.22,0.168,16.86,0.888,16.5,4.5,0.697,15.25,3.625,3.5,2.68,0.386,2.095,2.156,1.0,3.83,0.0,18.867,0.083,7.123,0.323,19.392,0.854,2.391,5.068,0.117,17.938,0.907,1.03,29.333,15.0,35.864,0.567,15.0
7,hartez,Unknown,-,3,3,2,3,1.0,950.122,950.122,228.103,0.085,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,950.122,950.122,228.103,0.085,161.293,950.122,950.122,228.103,0.085,161.293,1.5,1.5,0.707,0.167,0.5
8,whulshof,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,fedemp,Human,0.763,17,16,5,3,0.75,124.785,97.271,121.696,0.522,4.0,2.0,0.469,2.5,1.5,1.5,0.577,0.167,3.2,4.382,1.0,295.719,0.0,519.073,280.016,98.295,48.882,139.238,0.626,147.068,134.639,97.695,145.413,0.517,279.946,3.2,1.0,4.919,0.55,0.0
