False Positive Rate,True Positive Rate
0.0,0.0
0.0,0.008
0.0,0.032
0.0002633658151171978,0.032
0.0002633658151171978,0.048
0.0005267316302343956,0.048
0.0005267316302343956,0.056
0.0007900974453515934,0.056
0.0007900974453515934,0.096
0.0010534632604687912,0.096
0.0010534632604687912,0.112
0.001316829075585989,0.112
0.001316829075585989,0.192
0.0015801948907031868,0.192
0.0015801948907031868,0.2
0.0018435607058203845,0.2
0.0018435607058203845,0.264
0.00237029233605478,0.264
0.00237029233605478,0.296
0.002633658151171978,0.296
0.002633658151171978,0.36
0.0028970239662891757,0.36
0.0028970239662891757,0.384
0.0031603897814063736,0.384
0.0031603897814063736,0.408
0.003423755596523571,0.408
0.003423755596523571,0.432
0.003687121411640769,0.432
0.003687121411640769,0.488
0.0039504872267579665,0.488
0.0039504872267579665,0.504
0.004213853041875165,0.504
0.004213853041875165,0.536
0.004477218856992362,0.536
0.004477218856992362,0.552
0.00474058467210956,0.552
0.00474058467210956,0.56
0.005267316302343956,0.56
0.005267316302343956,0.576
0.005530682117461154,0.576
0.005530682117461154,0.592
0.006057413747695549,0.592
0.006057413747695549,0.608
0.006320779562812747,0.608
0.006320779562812747,0.64
0.0071108770081643406,0.64
0.0071108770081643406,0.648
0.007374242823281538,0.648
0.007374242823281538,0.68
0.008954437713984725,0.68
0.008954437713984725,0.688
0.010271266789570714,0.688
0.010271266789570714,0.696
0.011588095865156703,0.696
0.011588095865156703,0.704
0.0118514616802739,0.704
0.0118514616802739,0.712
0.014485119831445879,0.712
0.014485119831445879,0.72
0.020015801948907033,0.72
0.020015801948907033,0.728
0.021069265209375822,0.728
0.021069265209375822,0.736
0.021859362654727415,0.736
0.021859362654727415,0.744
0.024229654990782196,0.744
0.024229654990782196,0.76
0.026599947326836976,0.76
0.026599947326836976,0.768
0.02712667895707137,0.768
0.02712667895707137,0.776
0.035291019225704504,0.776
0.03634448248617329,0.776
0.04661574927574401,0.776
0.04661574927574401,0.784
0.05767711351066632,0.784
0.05767711351066632,0.792
0.06031077166183829,0.792
0.06031077166183829,0.8
0.06952857519094022,0.8
0.06952857519094022,0.808
0.06979194100605741,0.808
0.06979194100605741,0.816
0.0953384250724256,0.816
0.0953384250724256,0.824
0.1069265209375823,0.824
0.1069265209375823,0.832
0.14669475902027918,0.832
0.14669475902027918,0.84
0.1640769028180142,0.84
0.1640769028180142,0.848
0.18936002106926522,0.848
0.18936002106926522,0.856
0.215696602580985,0.856
0.215696602580985,0.864
0.24335001316829075,0.864
0.24335001316829075,0.872
0.257045035554385,0.872
0.257045035554385,0.88
0.46958124835396364,0.88
0.46958124835396364,0.888
0.4785356860679484,0.888
0.4785356860679484,0.896
0.5383197260995523,0.896
0.5383197260995523,0.904
0.543323676586779,0.904
0.543323676586779,0.912
0.5838820121148275,0.912
0.5838820121148275,0.92
0.6655254148011588,0.92
0.6655254148011588,0.928
0.7255728206478799,0.928
0.7255728206478799,0.936
0.7621806689491704,0.936
0.7621806689491704,0.944
0.7640242296549907,0.944
0.7640242296549907,0.952
0.7648143271003424,0.952
0.7648143271003424,0.96
0.8058993942586252,0.96
0.8058993942586252,0.968
0.8540953384250725,0.968
0.8540953384250725,0.976
0.8672636291809324,0.976
0.8672636291809324,0.984
0.9815643929417962,0.984
0.9815643929417962,0.992
0.9910455622860153,0.992
0.9910455622860153,1.0
1.0,1.0
