Feature,Feature Importance
Number of followers,0.0
Median Response Time,0.004635761589403975
Number of Active day,0.1649006622516556
Periodicity of Activities,0.009271523178807906
Number of Commit,0.06490066225165561
Number of following,0.014569536423841045
Number of Connection Account,0.02052980132450326
Number of Activity,0.0033112582781456455
Number of Pull Request,0.001986754966887427
Number of Repository,0.0026490066225165697
Number of Issue,0.007284768211920478
tfidf_similarity,0.001986754966887383
