Feature,Feature Importance
Number of followers,0.10212765957446805
tfidf_similarity,0.01808510638297871
Number of following,0.006382978723404253
Number of Active day,0.028723404255319118
Median Response Time,-0.0010638297872340497
Number of Pull Request,0.0
email,-0.0010638297872340497
Number of Repository,0.02021276595744681
Number of Commit,0.06702127659574468
Number of Connection Account,0.005319148936170226
name,0.00851063829787233
Number of Activity,0.009574468085106402
Periodicity of Activities,0.0
bio,0.022340425531914888
Number of Issue,0.01170212765957448
login,0.0
